year,income_level,value,expected_spending,covid
2000,High income,3972623998185.435,,7438865441973.907
2000,Low income,6533369585.769926,,19307969278.4187
2000,Lower middle income,89839701233.52802,,238539262248.6848
2000,Upper middle income,429958675912.4169,,1453565508471.1216
2001,High income,4197045562594.8604,,7438865441973.907
2001,Low income,7158044916.418081,,19307969278.4187
2001,Lower middle income,99055729373.31387,,238539262248.6848
2001,Upper middle income,447207409520.51385,,1453565508471.1216
2002,High income,4461126594676.725,,7438865441973.907
2002,Low income,8310410827.686506,,19307969278.4187
2002,Lower middle income,100538183550.9076,,238539262248.6848
2002,Upper middle income,471358940273.36005,,1453565508471.1216
2003,High income,4697055550838.789,,7438865441973.907
2003,Low income,9490210609.27713,,19307969278.4187
2003,Lower middle income,109312762730.37213,,238539262248.6848
2003,Upper middle income,505858274605.21387,,1453565508471.1216
2004,High income,4867287275206.348,,7438865441973.907
2004,Low income,10397437431.694817,,19307969278.4187
2004,Lower middle income,115724201846.32848,,238539262248.6848
2004,Upper middle income,540690025302.75385,,1453565508471.1216
2005,High income,5032815816233.919,,7438865441973.907
2005,Low income,11064121824.894676,,19307969278.4187
2005,Lower middle income,122921351624.66754,,238539262248.6848
2005,Upper middle income,573131754863.7313,,1453565508471.1216
2006,High income,5215770540740.091,,7438865441973.907
2006,Low income,12270632818.259253,,19307969278.4187
2006,Lower middle income,130140325378.68755,,238539262248.6848
2006,Upper middle income,607972819384.05,,1453565508471.1216
2007,High income,5387505487969.8,,7438865441973.907
2007,Low income,13150540836.21109,,19307969278.4187
2007,Lower middle income,136205513250.05174,,238539262248.6848
2007,Upper middle income,647149358921.9979,,1453565508471.1216
2008,High income,5540743319175.178,,7438865441973.907
2008,Low income,13519684154.197784,,19307969278.4187
2008,Lower middle income,142131617925.80508,,238539262248.6848
2008,Upper middle income,699103788115.0939,,1453565508471.1216
2009,High income,5779266996206.229,,7438865441973.907
2009,Low income,15068223622.479773,,19307969278.4187
2009,Lower middle income,151832655782.77145,,238539262248.6848
2009,Upper middle income,783657100734.5785,,1453565508471.1216
2010,High income,5913347294234.689,,7438865441973.907
2010,Low income,14829412905.588669,,19307969278.4187
2010,Lower middle income,158750404380.69214,,238539262248.6848
2010,Upper middle income,822310901259.381,,1453565508471.1216
2011,High income,6047046546022.896,,7438865441973.907
2011,Low income,14424136207.572903,,19307969278.4187
2011,Lower middle income,164945062288.2044,,238539262248.6848
2011,Upper middle income,880320609951.2643,,1453565508471.1216
2012,High income,6172417783624.454,,7438865441973.907
2012,Low income,14314942337.610071,,19307969278.4187
2012,Lower middle income,174421509604.14676,,238539262248.6848
2012,Upper middle income,952317340161.134,,1453565508471.1216
2013,High income,6262776151403.361,,7438865441973.907
2013,Low income,15999690376.088366,,19307969278.4187
2013,Lower middle income,193470028938.37457,,238539262248.6848
2013,Upper middle income,1022366332502.8613,,1453565508471.1216
2014,High income,6475517618001.366,,7438865441973.907
2014,Low income,16715843438.717045,,19307969278.4187
2014,Lower middle income,200933112477.40015,,238539262248.6848
2014,Upper middle income,1084771415120.9196,,1453565508471.1216
2015,High income,6729777424914.583,,7438865441973.907
2015,Low income,16584123136.951777,,19307969278.4187
2015,Lower middle income,215175876476.44247,,238539262248.6848
2015,Upper middle income,1170933368795.878,,1453565508471.1216
2016,High income,6928214110943.542,,7438865441973.907
2016,Low income,17664097189.688988,,19307969278.4187
2016,Lower middle income,225679217879.7141,,238539262248.6848
2016,Upper middle income,1229069327268.412,,1453565508471.1216
2017,High income,7077273877902.349,,7438865441973.907
2017,Low income,19209276869.343002,,19307969278.4187
2017,Lower middle income,221358888222.95114,,238539262248.6848
2017,Upper middle income,1300645117133.0557,,1453565508471.1216
2018,High income,7226106270790.887,,7438865441973.907
2018,Low income,18510085666.74947,,19307969278.4187
2018,Lower middle income,226047733115.6223,,238539262248.6848
2018,Upper middle income,1372668305306.9233,,1453565508471.1216
2019,High income,7438865441973.907,7438865441973.907,7438865441973.907
2019,Low income,19307969278.4187,19307969278.4187,19307969278.4187
2019,Lower middle income,238539262248.6848,238539262248.6848,238539262248.6848
2019,Upper middle income,1453565508471.1216,1453565508471.1216,1453565508471.1216
2020,High income,8019134533130.993,7688561350663.049,7438865441973.907
2020,Low income,20414870741.37443,20441134091.63601,19307969278.4187
2020,Lower middle income,247770547309.1055,251119524779.97223,238539262248.6848
2020,Upper middle income,1521514603518.106,1549805257110.8499,1453565508471.1216
2021,High income,8099788154577.8125,7946638651286.544,7438865441973.907
2021,Low income,21438910906.582855,21640803179.611465,19307969278.4187
2021,Lower middle income,274128646455.00748,264363254632.5894,238539262248.6848
2021,Upper middle income,1604680455445.1694,1652416984972.8835,1453565508471.1216
2022,High income,7922963362027.806,8213378676971.257,7438865441973.907
2022,Low income,22050105614.46221,22910879609.67431,19307969278.4187
2022,Lower middle income,284751585301.36237,278305442243.76904,238539262248.6848
2022,Upper middle income,1586290557782.7007,1761822577190.7917,1453565508471.1216
