year,Africa (median),Algeria,Benin,Cabo Verde,Cameroon,Congo,Equatorial Guinea,Eritrea,Liberia,Madagascar,Mauritania,Morocco,Namibia,Niger,Nigeria,South Africa,Sudan,Togo
2001,6.632662769999999,9.26661205,7.99414682,11.17305183,5.34374762,3.3190190799999995,1.4089413900000003,3.01020408,4.25491762,12.01517391,2.42193055,4.23062134,15.981916430000002,8.34352493,2.77955914,10.62284565,11.368736269999996,2.9947822100000003
2002,6.432985310000001,7.97343826,6.34654379,9.504278179999998,6.432985310000001,1.3442719000000003,1.4089413900000003,3.52871037,4.25491762,14.01566982,3.5824010399999997,4.18854809,17.18019867,8.355998040000001,2.74149632,10.37981224,10.70719147,4.051334379999999
2003,6.78598738,9.43778801,7.7336826300000014,11.36700153,6.5153770400000015,1.85525787,1.4488228599999995,2.87028527,4.25491762,13.09897804,2.6066830199999997,4.14071369,16.82404709,7.629894259999999,4.00685167,12.33823776,10.07152081,4.242087840000001
2004,6.755731109999999,8.66916943,8.69476223,9.631425859999998,5.26183367,1.78429937,1.4902302,2.7329978899999996,4.25491762,10.02646637,2.96115541,4.12965059,17.392595289999996,7.34862614,6.55428886,12.029251099999996,9.52674675,4.205553529999999
2005,6.398740289999999,7.761599059999999,7.55740261,8.802990910000002,5.24748802,1.95315254,1.4638183100000002,1.11400759,4.25491762,10.53517532,3.84421062,3.8501186399999994,16.26776886,12.34742451,6.40770292,10.91880608,8.099486350000001,3.80081558
2006,6.54068851,7.84512997,8.31231785,8.921114919999999,5.18314695,2.08378863,1.44399369,1.6211192599999995,4.25491762,10.246590609999998,3.559678079999999,5.01113462,15.75332451,13.54461861,7.32234478,13.09509182,9.4422226,3.83191919
2007,6.270682810000001,7.630736350000001,6.1193018,10.09019661,4.226081849999999,2.0520796800000003,1.4716601400000004,2.3728718799999995,4.25491762,11.84111977,3.88567042,5.35828495,17.978948589999998,8.63178158,4.29357767,13.509318349999996,10.46531487,4.344953540000001
2008,5.612905029999999,7.687209129999999,5.103364470000001,8.10699081,3.46105146,4.548922060000001,1.49703324,2.3728718799999995,4.25491762,8.981694220000001,4.480345250000001,5.31417799,14.549841880000002,9.1883316,4.594045159999999,13.01471424,8.78631306,4.84371662
2009,5.821324349999999,8.644684790000001,5.1059413000000005,8.309453010000002,3.04738736,2.52816463,1.4756576999999995,2.3728718799999995,5.046602249999999,10.45279503,4.476241589999999,6.1230468799999995,10.818129540000005,8.694140430000001,3.69395757,13.369973180000002,14.01954556,4.7768583300000005
2010,6.048321485000001,9.18787575,5.34460402,7.229432109999999,2.67579794,3.602102040000001,1.4552304699999998,2.3728718799999995,5.046602249999999,15.20980263,4.22304821,6.064290520000001,11.91450977,9.17788696,2.70293093,14.115259169999998,9.48801804,7.4458599099999985
2011,6.50348878,9.03425121,4.423614500000001,8.60780239,3.21048117,2.33683133,1.47296762,2.3728718799999995,5.046602249999999,13.936785699999998,4.400928970000001,5.79278231,10.63667202,8.299738880000001,2.7714133299999997,14.67442226,7.035676959999998,5.66925287
