Country,ISO3 Code,"GDP per capita (USD, 2022)",External expenditure on preventive care (% of current health expenditure),Domestic government expenditure on preventive care (% of current health expenditure),year
Afghanistan,AFG,349.3199955888189,6.068352130361792,0.0072209415789632,2022
Armenia,ARM,6773.514379094577,0.0966691577263087,1.8556503130835795,2022
Bangladesh,BGD,2272.915897480655,3.573765636263131,3.782319431657647,2020
Belarus,BLR,7944.179719965559,0.1173012307311098,2.1474030763215355,2022
Botswana,BWA,8080.04371202932,6.941000807695268,14.527900227786722,2019
Burkina Faso,BFA,838.1363452853268,13.234655275735632,7.956902360067939,2022
Burundi,BDI,295.6786373273473,40.07583918149077,0.5763175601694719,2020
Cabo Verde,CPV,4421.789762267305,4.161792216194556,4.766016431419392,2019
Cambodia,KHM,2322.2126473482263,4.850695443100305,0.8652002432230628,2019
Cameroon,CMR,1612.9486038552045,5.691929847471961,0.7551886026710907,2019
Canada,CAN,54141.36212165505,0.0,5.679550295232436,2021
Central African Republic,CAF,484.4513318551329,20.22956414479892,0.3132867155045352,2019
Chad,TCD,887.6387422892386,10.016381660166006,3.2787635485168023,2022
Chile,CHL,15266.09345901415,0.0,3.285912246294199,2021
China,CHN,10979.65965307673,0.0006696115753227,3.7673643620658583,2019
Comoros,COM,1489.4467208406688,11.4356522379635,1.160092725490225,2019
Congo,COG,2355.146406337041,9.917544183983182,5.118633785402047,2020
Costa Rica,CRI,13625.902500911285,0.0022716271807614,2.1035193379081023,2022
Côte d'Ivoire,CIV,2269.762717427056,10.58964765780875,12.750095588772474,2021
Democratic Republic of the Congo,COD,644.0889923802301,19.163140017355325,0.1134343839988346,2022
Dominican Republic,DOM,9490.46401076917,0.6047562587769151,1.7937870616483238,2019
Egypt,EGY,3400.08189131473,0.051602414203883,1.4716463452825268,2020
El Salvador,SLV,5093.531077004209,0.0987271989108268,12.87827379573071,2022
Eswatini,SWZ,3709.071678930837,15.542809275187112,18.99393337514059,2019
Ethiopia,ETH,885.1970120120711,13.665731322528885,4.95456752149862,2020
Gabon,GAB,9034.546789742915,0.4746702975529655,6.428946951201512,2019
Gambia,GMB,817.7587894534383,13.936903515180717,0.8217080149015147,2019
Georgia,GEO,5795.483822922803,0.2833189488226558,2.062220378836166,2019
Ghana,GHA,2225.276143328211,7.8931594491861,8.554645510687513,2022
Guinea,GIN,1370.876445847163,14.71797623610569,0.368283547312521,2021
Guinea-Bissau,GNB,799.0310882536863,18.867983292266192,2.248368060636121,2021
Guyana,GUY,6434.903207997396,0.6664713286333309,12.178673016990292,2019
Haiti,HTI,1809.3439926150215,5.2066641356288965,0.0428568921223714,2019
India,IND,2232.259355762569,0.3327596040308676,7.211564381318032,2019
Iran (Islamic Republic of),IRN,4071.951895180976,0.0077579670813531,1.626978261089324,2019
Jordan,JOR,4341.824534601933,0.00682960449826,0.30650840159759,2019
Kazakhstan,KAZ,10860.289445727456,0.006238986312556,3.7993993597910087,2018
Kenya,KEN,1969.0312544948133,11.067396814214415,4.736493092729553,2019
Kyrgyzstan,KGZ,1750.2338488189823,1.5125149860705012,1.883249526339546,2019
Lao People's Democratic Republic,LAO,2059.2126687405507,7.230705301685449,2.725655239811326,2019
Lebanon,LBN,10581.092711561296,8.61674184443589e-06,0.019329659714236,2018
Liberia,LBR,878.1154007290856,10.873047016799292,1.0618980381696643,2020
Madagascar,MDG,494.9850875214201,26.739075824269715,1.7631866903400786,2021
Malawi,MWI,620.1391267509562,5.307232884952704,1.8851846831095296,2019
Malaysia,MYS,10927.487333058716,0.0023845336087144,14.153372916412042,2021
Mali,MLI,842.1461472074532,9.600157167362228,1.0025147682316886,2019
Mauritania,MRT,1952.163896572111,3.993335851687847,3.9814770018697776,2021
Mauritius,MUS,10463.576358930426,0.1125368162108771,3.83608789652604,2019
Mexico,MEX,10499.487017974525,0.0012143134748062,3.0659984911035822,2020
Mongolia,MNG,4888.164944596249,0.3042164881029645,0.9164392625839682,2021
Montenegro,MNE,8520.329706623219,0.0,3.734538726768847,2020
Morocco,MAR,3560.8541798747706,0.0705944566595929,4.95524414749773,2019
Mozambique,MOZ,587.4130430600209,26.628388565053942,1.7107737018091012,2018
Myanmar,MMR,1113.7636390428363,9.62123729648005,3.028335916430333,2022
Namibia,NAM,4781.680621228851,2.922050427180844,3.5163746464378143,2019
Nepal,NPL,1265.892736888656,6.005380387697775,8.519644572135787,2021
Niger,NER,608.988502891053,13.5256226624346,5.079162591637116,2022
Nigeria,NGA,2105.4313815530245,6.55404111818164,1.907655153928968,2021
North Macedonia,MKD,6723.298926609337,0.0,1.9007446633362683,2020
Pakistan,PAK,1334.761673347452,0.3494290454433429,0.920254432706104,2022
Paraguay,PRY,6205.625973945806,1.6072809179827755e-05,4.934905950828734,2022
Republic of Moldova,MDA,5932.25545531029,2.668880738639998,3.248768577947417,2021
Sao Tome and Principe,STP,2461.703269830504,16.136744173762516,1.9782250629334732,2021
Saudi Arabia,SAU,33407.0634061018,0.0,1.7707533872431256,2019
Senegal,SEN,1545.7746938496416,10.426707760554,2.464162822545044,2021
Seychelles,SYC,16615.25630221964,0.3095852766123807,19.15127171753194,2018
Sierra Leone,SLE,488.933289989506,9.302355750470628,5.326185525328626,2021
Slovenia,SVN,25843.30092496315,0.0189404753414193,2.2952196402316805,2020
South Africa,ZAF,6778.157243614212,0.7801023790948737,5.7765147081453865,2019
South Sudan,SSD,827.4961247762102,19.575454093433805,1.655512712789278,2019
Sri Lanka,LKA,3770.529300069591,0.3439740769122978,1.7061050956065382,2018
Sudan,SDN,736.3998743616515,2.5493473750684608,3.4892857109115183,2020
Suriname,SUR,7118.231230613029,0.5291352189677643,4.645159921301375,2019
Tajikistan,TJK,892.5459333837222,0.3526008405654713,1.6320069865182032,2019
Thailand,THA,6951.30488158535,0.0894727606353203,7.192003905051504,2018
Timor-Leste,TLS,1310.0266354062414,7.788654475686457,0.0641320938035466,2018
Togo,TGO,865.0380106314924,13.050434625869064,2.306425873120367,2021
Trinidad and Tobago,TTO,22301.01850937032,0.0029581866685728,12.015641117873782,2018
Tunisia,TUN,3971.3822905537263,0.0,0.7242077435458477,2019
Uganda,UGA,997.9400393082342,18.07685098090493,2.033373181651332,2019
Ukraine,UKR,4897.909985036439,0.0,0.6239729914607013,2020
United Arab Emirates,ARE,48028.56282348628,0.0,9.11556560824412,2021
United Republic of Tanzania,TZA,1091.9346993210518,12.811518366923814,0.5484806637066103,2019
United States of America,USA,69459.28968540588,0.0,6.290735467118752,2020
Uzbekistan,UZB,2106.8839239108147,0.0530640602418517,2.5668509924108505,2019
Zimbabwe,ZWE,1918.64653891671,20.84950201147092,5.572406570464573,2020
"occupied Palestinian territory, including east Jerusalem",PSE,3602.4368222540993,0.1913741849126183,0.9676222832660476,2022
